ax,ay,az,gx,gy,gz,mx,my,mx
-0.023942,0.383072,9.57202,0.0117065,0.0117065,0.00957802,8.52188,26.0918,38.932
-0.0383072,0.483629,9.63427,0.00851379,0.0127707,0.00744957,8.52188,26.0918,38.932
-0.105345,0.416591,9.47625,0.00638535,0.0127707,0.00957802,8.52188,26.0918,38.932
-0.172383,0.42138,9.45231,0.00851379,0.0138349,0.00851379,8.52188,26.0918,38.932
-0.181959,0.397437,9.63906,0.00851379,0.00851379,0.0106422,8.52188,26.0918,38.932
-0.071826,0.339977,9.5385,0.00532112,0.00851379,0.00957802,8.52188,26.0918,38.932
-0.047884,0.344765,9.49062,0.00638535,0.0148991,0.00532112,8.52188,26.0918,38.932
-0.0191536,0.445322,9.56244,0.00319267,0.0170276,0.00957802,8.52188,26.0918,38.932
-0.0814029,0.411803,9.33739,0.0106422,0.0148991,0.00957802,8.52188,26.0918,38.932
-0.134075,0.440533,9.46667,0.00638535,0.0127707,0.0106422,8.52188,26.0918,38.932
-0.071826,0.416591,9.58638,0.00957802,0.0117065,0.0117065,8.52188,26.0918,38.932
-0.129287,0.407014,9.49062,0.0106422,0.0127707,0.00957802,8.52188,26.0918,38.932
-0.0287304,0.368707,9.47625,0.00744957,0.0117065,0.00851379,8.52188,26.0918,38.932
-0.071826,0.35913,9.62948,0.00319267,0.00851379,0.0127707,8.52188,26.0918,38.932
-0.100556,0.35913,9.4571,0.00638535,0.0138349,0.0117065,8.52188,26.0918,38.932
-0.105345,0.435745,9.55287,0.00744957,0.0170276,0.0117065,8.52188,26.0918,38.932
-0.100556,0.373495,9.50019,0.0042569,0.0127707,0.0106422,8.52188,26.0918,38.932
-0.110133,0.426168,9.38048,0.00744957,0.0117065,0.0106422,8.52188,26.0918,38.932
-0.047884,0.397437,9.53371,0.0042569,0.0117065,0.0138349,8.52188,26.0918,38.932
-0.114922,0.416591,9.55765,0.00744957,0.0148991,0.00744957,8.52188,26.0918,38.932
-0.114922,0.440533,9.50977,0.00638535,0.0117065,0.00638535,8.52188,26.0918,38.932
-0.282516,0.349553,9.53371,0.00532112,0.0148991,0.00532112,8.52188,26.0918,38.932
-0.0766145,0.426168,9.43794,0.0117065,0.0148991,0.0117065,8.52188,26.0918,38.932
-0.114922,0.306458,9.68694,0.00957802,0.00851379,0.00851379,8.52188,26.0918,38.932
-0.105345,0.387861,9.54329,0.00638535,0.0138349,0.00957802,8.52188,26.0918,38.932
-0.11971,0.402226,9.48104,0.00744957,0.0180918,0.00744957,9.05449,25.1982,40.827
-0.138864,0.392649,9.46188,0.00744957,0.0117065,0.00532112,9.05449,25.1982,40.827
-0.0526724,0.42138,9.65342,0.00638535,0.0117065,0.00851379,9.05449,25.1982,40.827
-0.138864,0.392649,9.65342,0.00638535,0.0148991,0.0117065,9.05449,25.1982,40.827
-0.186748,0.407014,9.5385,0.00851379,0.0138349,0.00744957,9.05449,25.1982,40.827
-0.105345,0.354342,9.50977,0.00744957,0.0138349,0.00744957,9.05449,25.1982,40.827
-0.177171,0.354342,9.58638,0.00319267,0.0159634,0.0117065,9.05449,25.1982,40.827
-0.100556,0.517148,9.52892,0.0106422,0.0117065,0.0117065,9.05449,25.1982,40.827
-0.047884,0.253785,9.44273,0.00638535,0.0148991,0.00532112,9.05449,25.1982,40.827
-0.0909797,0.411803,9.54329,0.00532112,0.0127707,0.00638535,9.05449,25.1982,40.827
-0.0622492,0.402226,9.43315,0.00744957,0.0138349,0.0138349,9.05449,25.1982,40.827
-0.148441,0.373495,9.56244,0.00851379,0.0138349,0.00744957,9.05449,25.1982,40.827
-0.0814029,0.407014,9.52413,0.00532112,0.0138349,0.0042569,9.05449,25.1982,40.827
-0.181959,0.435745,9.52892,0.00532112,0.0127707,0.00851379,9.05449,25.1982,40.827
-0.071826,0.430956,9.54808,0.00851379,0.0148991,0.0138349,9.05449,25.1982,40.827
-0.129287,0.335188,9.45231,0.0106422,0.0148991,0.00957802,9.05449,25.1982,40.827
-0.129287,0.373495,9.39964,0.00744957,0.0148991,0.00957802,9.05449,25.1982,40.827
-0.158017,0.426168,9.50019,0.00851379,0.0117065,0.00744957,9.05449,25.1982,40.827
-0.0909797,0.397437,9.59596,0.00744957,0.0148991,0.00957802,9.05449,25.1982,40.827
-0.0143652,0.454898,9.44273,0.00532112,0.0117065,0.00532112,9.05449,25.1982,40.827
-0.11971,0.397437,9.5385,0.00744957,0.0117065,0.00532112,9.05449,25.1982,40.827
-0.124498,0.392649,9.68694,0.00532112,0.0170276,0.0106422,9.05449,25.1982,40.827
-0.0814029,0.445322,9.38048,0.00851379,0.0159634,0.00851379,9.05449,25.1982,40.827
-0.105345,0.368707,9.56244,0.00851379,0.0159634,0.00851379,9.05449,25.1982,40.827
-0.071826,0.354342,9.48104,0.00851379,0.0127707,0.00957802,9.05449,25.1982,40.827
-0.11971,0.407014,9.52892,0.00851379,0.0138349,0.00851379,9.05449,25.1982,40.827
-0.0383072,0.373495,9.44752,0.00957802,0.0148991,0.0127707,9.05449,25.1982,40.827
-0.110133,0.306458,9.61511,0.00638535,0.0148991,0.0127707,9.05449,25.1982,40.827
-0.100556,0.277727,9.44752,0.00851379,0.0148991,0.0106422,9.05449,25.1982,40.827
-0.114922,0.3304,9.46188,0.00957802,0.00957802,0.0117065,9.05449,25.1982,40.827
-0.0622492,0.407014,9.44273,0.0117065,0.0117065,0.00957802,9.05449,25.1982,40.827
-0.114922,0.383072,9.45231,0.00957802,0.0148991,0.0117065,9.05449,25.1982,40.827
-0.0670376,0.363919,9.57681,0.00744957,0.0148991,0.00851379,9.05449,25.1982,40.827
-0.153229,0.45011,9.5816,0.00638535,0.0170276,0.00957802,9.05449,25.1982,40.827
-0.0670376,0.296881,9.52413,0.00532112,0.0148991,0.00851379,9.05449,25.1982,40.827
-0.0909797,0.440533,9.56244,0.00851379,0.0106422,0.00638535,9.05449,25.1982,40.827
-0.0766145,0.392649,9.58638,0.0106422,0.0106422,0.00638535,9.05449,25.1982,40.827
-0.0574608,0.354342,9.46188,0.00532112,0.0202203,0.00744957,9.05449,25.1982,40.827
-0.100556,0.287304,9.5816,0.00851379,0.019156,0.00957802,9.05449,25.1982,40.827
